LERP,VALIDATION,TEST
1%+LERP50%,0.62222224,0.45724574
1%+LERP100%,0.6666667,0.5490549
1%+LERP150%,0.7718121,0.57425743
1%+LERP200%,0.7911111,0.59765977
1%+LERP250%,0.8229665,0.6390639
1%+LERP500%,0.90529245,0.7137714
1%+LERP750%,0.94871795,0.7515752
1%+LERP1000%,0.9726027,0.75427544
1%+LERP1250%,0.9887593,0.7821782
1%+LERP1500%,1,0.7549775
2%+LEPR50%,0.76404494,0.6219622
2%+LEPR100%,0.7708333,0.62466246
2%+LEPR150%,0.8489933,0.6921692
2%+LEPR200%,0.8561111,0.70027006
2%+LEPR250%,0.8688517,0.7380738
2%+LERP500%,0.97774684,0.8388839
2%+LERP750%,0.9812992,0.8541854
2%+LERP1000%,0.9992407,0.87668765
2%+LERP1250%,1,0.8731863
2%+LERP1500%,1,0.8730873
5%+LERP50%,0.87276787,0.80558056
5%+LERP100%,0.91986644,0.8433843
5%+LERP150%,0.96385545,0.8694869
5%+LERP200%,0.97216034,0.89378935
5%+LERP250%,0.9933078,0.90639067
5%+LERP500%,0.9994429,0.9189919
5%+LERP750%,0.9996066,0.9117912
5%+LERP1000%,1,0.91539156
5%+LERP1250%,1,0.91539156
5%+LERP1500%,1,0.90639067
10%+LERP50%,0.9520624,0.8973897
10%+LERP100%,0.98329157,0.92529255
10%+LERP150%,0.987291,0.92529255
10%+LERP200%,0.99220055,0.93519354
10%+LERP250%,0.99617773,0.9306931
10%+LERP500%,0.9988858,0.91539156
10%+LERP750%,0.9998033,0.909991
10%+LERP1000%,1,0.909991
10%+LERP1250%,0.99987614,0.9126913
10%+LERP1500%,1,0.91539156
20%+LERP50%,0.990524,0.9288929
20%+LERP100%,0.9945675,0.9315932
20%+LERP150%,0.99698997,0.9225923
20%+LERP200%,0.9972137,0.91629165
20%+LERP250%,0.99785,0.9108911
20%+LERP500%,0.999582,0.91719174
20%+LERP750%,0.99950814,0.919892
20%+LERP1000%,0.999316,0.9207921
20%+LERP1250%,0.9997523,0.9189919
20%+LERP1500%,0.99979097,0.9118902
50%+LERP50%,0.99085844,0.9144915
50%+LERP100%,0.99682325,0.91629165
50%+LERP150%,0.997191,0.9045905
50%+LERP200%,0.9963219,0.909991
50%+LERP250%,0.9977069,0.9126913
50%+LERP500%,0.9990526,0.90909094
50%+LERP750%,0.99940985,0.909991
50%+LERP1000%,0.9996048,0.909991
50%+LERP1250%,0.9995541,0.9108911
50%+LERP1500%,0.9997283,0.9135914
100%+LERP50%,0.9950953,0.92709273
100%+LERP100%,0.99648917,0.9189919
100%+LERP150%,0.99739164,0.9144915
100%+LERP200%,0.9982167,0.91629165
100%+LERP250%,0.9985192,0.91539156
100%+LERP500%,0.9988575,0.909991
100%+LERP750%,0.9992132,0.91809183
100%+LERP1000%,0.9995288,0.919892
100%+LERP1250%,0.9996285,0.9144915
100%+LERP1500%,0.9997074,0.91819085
