RND,VALIDATION,TEST
1%+RND50%,0.51111114,0.37173718
1%+RND100%,0.53333336,0.4140414
1%+RND150%,0.58666664,0.43024302
1%+RND200%,0.59222223,0.47974798
1%+RND250%,0.61904764,0.49234924
1%+RND500%,0.7688022,0.5877588
1%+RND750%,0.81299216,0.6723672
1%+RND1000%,0.8630137,0.68676865
1%+RND1250%,0.91449815,0.7416742
1%+RND1500%,0.9146862,0.7479748
2%+RND50%,0.5388889,0.48964897
2%+RND100%,0.6375,0.5319532
2%+RND150%,0.6533333,0.53735375
2%+RND200%,0.7583333,0.5377588
2%+RND250%,0.7604762,0.54225025
2%+RND500%,0.8470097,0.63456345
2%+RND750%,0.9125737,0.7929793
2%+RND1000%,0.9498861,0.8181818
2%+RND1250%,0.969697,0.85958594
2%+RND1500%,0.9623382,0.8550855
5%+RND50%,0.76837415,0.6021602
5%+RND100%,0.81135225,0.7587759
5%+RND150%,0.87433153,0.76237625
5%+RND200%,0.9020045,0.81638163
5%+RND250%,0.9111748,0.85058504
5%+RND500%,0.96657383,0.90009004
5%+RND750%,0.97365314,0.90639067
5%+RND1000%,0.9799453,0.91539156
5%+RND1250%,0.9882992,0.91629165
5%+RND1500%,0.98514116,0.9135914
10%+RND50%,0.9097996,0.8568857
10%+RND100%,0.94068503,0.8991899
10%+RND150%,0.9485294,0.9225923
10%+RND200%,0.95824515,0.9216922
10%+RND250%,0.9594078,0.9225923
10%+RND500%,0.975766,0.92529255
10%+RND750%,0.9834808,0.9207921
10%+RND1000%,0.98161376,0.9135914
10%+RND1250%,0.9881129,0.9126913
10%+RND1500%,0.9875679,0.9126913
20%+RND50%,0.97493035,0.92619264
20%+RND100%,0.97576267,0.9234924
20%+RND150%,0.98328316,0.92619264
20%+RND200%,0.9824464,0.91629165
20%+RND250%,0.9832816,0.909991
20%+RND500%,0.9820259,0.9279928
20%+RND750%,0.98691845,0.91809183
20%+RND1000%,0.98647213,0.9135914
20%+RND1250%,0.9884196,0.91629165
20%+RND1500%,0.9884523,0.91629165
50%+RND50%,0.9832813,0.9207921
50%+RND100%,0.98595554,0.91809183
50%+RND150%,0.9834136,0.919892
50%+RND200%,0.98216677,0.919892
50%+RND250%,0.98490494,0.91539156
50%+RND500%,0.9853425,0.9279928
50%+RND750%,0.98418504,0.91809183
50%+RND1000%,0.9868369,0.9126913
50%+RND1250%,0.98739195,0.9234924
50%+RND1500%,0.9892783,0.91809183
100%+RND50%,0.9866251,0.9216922
100%+RND100%,0.9855387,0.9189919
100%+RND150%,0.9862904,0.92529255
100%+RND200%,0.98428446,0.9189919
100%+RND250%,0.9842839,0.91539156
100%+RND500%,0.9855658,0.919892
100%+RND750%,0.9864477,0.9126913
100%+RND1000%,0.9886462,0.91629165
100%+RND1250%,0.9886061,0.919892
100%+RND1500%,0.9895505,0.91539156
